board
Central Board of Secondary Education (CBSE)
Council for the Indian School Certificate Examinations (CISCE)
National Institute of Open Schooling (NIOS)
Andhra Pradesh Board of Education (APBSE)
Assam Higher Secondary Education Council (AHSEC)
Bihar School Examination Board (BSEB)
Chhattisgarh Board of Secondary Education (CGBSE)
Gujarat Secondary and Higher Education Board (GSEB)
Haryana Board of School Education (HBSE)
Jammu and Kashmir State Board of School Education (JKSSB)
Jharkhand Academic Council (JAC)
Karnataka Secondary Education Examination Board (KSEEB)
Kerala Board of Public Examinations (KBPE)
Madhya Pradesh Board of Secondary Education (MPBSE)
Maharashtra State Board of Secondary and Higher Secondary Education (MSBSHSE)
Manipur Board of Examination (MBOE)
Meghalaya Board of School Education (MBOSE)
Mizoram Board of School Education (MBSE)
Nagaland Board of School Education (NBSE)
Odisha Board of Secondary Education (BSE)
Punjab School Education Board (PSEB)
Rajasthan Board of Secondary Education (RBSE)
Sikkim Board of School Education (SBOSE)
Tamil Nadu State Board (TNSB)
Telangana Board of Secondary Education (TBSE)
Tripura Board of Secondary Education (TBSE)
Uttar Pradesh Madhyamik Shiksha Parishad (UPMSP)
West Bengal Board of Secondary Education (WBBSE)
