S. No.,university,college,College Type,State Name,District Name
1,"Acharya Nagarjuna University, Guntur ",Aazad College of Education ,Affiliated College,Andhra Pradesh,Prakasam
2,"Acharya Nagarjuna University, Guntur ",Abhinav Institute of Management & Technology ,Affiliated College,Andhra Pradesh,Prakasam
3,"Acharya Nagarjuna University, Guntur ",Abhyudaya Mahila Degree College ,Affiliated College,Andhra Pradesh,Guntur
4,"Acharya Nagarjuna University, Guntur ",A.B.M. College ,Affiliated College,Andhra Pradesh,Prakasam
5,"Acharya Nagarjuna University, Guntur ",A.B.R College of Education ,Affiliated College,Andhra Pradesh,Prakasam
6,"Acharya Nagarjuna University, Guntur ",A.C.College (Day) ,Affiliated College,Andhra Pradesh,Guntur
7,"Acharya Nagarjuna University, Guntur ",A.C.College of Law ,Affiliated College,Andhra Pradesh,Guntur
8,"Acharya Nagarjuna University, Guntur ",A.C.Evening College ,Affiliated College,Andhra Pradesh,Guntur
9,"Acharya Nagarjuna University, Guntur ",Acharya N.G.Ranga College of Education ,Affiliated College,Andhra Pradesh,Guntur
10,"Acharya Nagarjuna University, Guntur ",Adarsa College of Education ,Affiliated College,Andhra Pradesh,Prakasam
11,"Acharya Nagarjuna University, Guntur ",Adarsa Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
12,"Acharya Nagarjuna University, Guntur ",A.G.K.M.College ,Affiliated College,Andhra Pradesh,Guntur
13,"Acharya Nagarjuna University, Guntur ",A.L.College of Education ,Affiliated College,Andhra Pradesh,Guntur
14,"Acharya Nagarjuna University, Guntur ",Ali College of Education ,Affiliated College,Andhra Pradesh,Guntur
15,"Acharya Nagarjuna University, Guntur ",AL Momin College of Education ,Affiliated College,Andhra Pradesh,Prakasam
16,"Acharya Nagarjuna University, Guntur ",Alpha College of Education ,Affiliated College,Andhra Pradesh,Prakasam
17,"Acharya Nagarjuna University, Guntur ","Alpha College of Education, Kanigiri ",Affiliated College,Andhra Pradesh,Prakasam
18,"Acharya Nagarjuna University, Guntur ",Alpha Degree College ,Affiliated College,Andhra Pradesh,Prakasam
19,"Acharya Nagarjuna University, Guntur ",Aman Showkath B.Ed College ,Affiliated College,Andhra Pradesh,Guntur
20,"Acharya Nagarjuna University, Guntur ",A.M.G.College of Education ,Affiliated College,Andhra Pradesh,Guntur
21,"Acharya Nagarjuna University, Guntur ",A.M.G.Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
22,"Acharya Nagarjuna University, Guntur ",A.M Reddy College of Education ,Affiliated College,Andhra Pradesh,Guntur
23,"Acharya Nagarjuna University, Guntur ",A.M. Reddy Memorial College of Pharmacy ,Affiliated College,Andhra Pradesh,Guntur
24,"Acharya Nagarjuna University, Guntur ",Amrutha College of Education ,Affiliated College,Andhra Pradesh,Prakasam
25,"Acharya Nagarjuna University, Guntur ",Amrutha Degree College ,Affiliated College,Andhra Pradesh,Prakasam
26,"Acharya Nagarjuna University, Guntur ",Andhra Kesari College of Education ,Affiliated College,Andhra Pradesh,Prakasam
27,"Acharya Nagarjuna University, Guntur ",Andhra Kesari Vidya Kendram Degree College ,Affiliated College,Andhra Pradesh,Prakasam
28,"Acharya Nagarjuna University, Guntur ",Andhra Muslim College ,Affiliated College,Andhra Pradesh,Guntur
29,"Acharya Nagarjuna University, Guntur ",Andhra Muslim College of Education ,Affiliated College,Andhra Pradesh,Guntur
30,"Acharya Nagarjuna University, Guntur ",Anitha Venkateswara College of Eduation ,Affiliated College,Andhra Pradesh,Guntur
31,"Acharya Nagarjuna University, Guntur ",Annabattuni Satyanarayana Degree College ,Affiliated College,Andhra Pradesh,Guntur
32,"Acharya Nagarjuna University, Guntur ",Anniebesant College of Education ,Affiliated College,Andhra Pradesh,Prakasam
33,"Acharya Nagarjuna University, Guntur ",ANU PG Campus Ongole ,PG Center / Off-Campus Center,Andhra Pradesh,Prakasam
34,"Acharya Nagarjuna University, Guntur ",A.P.Residential Degree College ,Affiliated College,Andhra Pradesh,Guntur
35,"Acharya Nagarjuna University, Guntur ",Asha College of Education ,Affiliated College,Andhra Pradesh,Prakasam
36,"Acharya Nagarjuna University, Guntur ",A.S.M & A.W. D Women's Degree College ,Affiliated College,Andhra Pradesh,Guntur
37,"Acharya Nagarjuna University, Guntur ","A.S.N Pharmacy College, Tenali ",Affiliated College,Andhra Pradesh,Guntur
38,"Acharya Nagarjuna University, Guntur ",B.A & K.R College of Education ,Affiliated College,Andhra Pradesh,Prakasam
39,"Acharya Nagarjuna University, Guntur ",B.A & K.R Degree College ,Affiliated College,Andhra Pradesh,Prakasam
40,"Acharya Nagarjuna University, Guntur ",Balaji Degree College ,Affiliated College,Andhra Pradesh,Guntur
41,"Acharya Nagarjuna University, Guntur ",Bapatla College of Arts & Science ,Affiliated College,Andhra Pradesh,Guntur
42,"Acharya Nagarjuna University, Guntur ",Bapatla Engineering College ,Affiliated College,Andhra Pradesh,Guntur
43,"Acharya Nagarjuna University, Guntur ",Bapatla Womens Engineering College ,Affiliated College,Andhra Pradesh,Guntur
44,"Acharya Nagarjuna University, Guntur ",Bapuji College of Education ,Affiliated College,Andhra Pradesh,Guntur
45,"Acharya Nagarjuna University, Guntur ",B.B.H Degree College ,Affiliated College,Andhra Pradesh,Prakasam
46,"Acharya Nagarjuna University, Guntur ","B.G Degree College, Sattenapalli ",Affiliated College,Andhra Pradesh,Guntur
47,"Acharya Nagarjuna University, Guntur ",Bharathi Degree College ,Affiliated College,Andhra Pradesh,Prakasam
48,"Acharya Nagarjuna University, Guntur ",Bhashyam College of Education ,Affiliated College,Andhra Pradesh,Guntur
49,"Acharya Nagarjuna University, Guntur ",B.H.H Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
50,"Acharya Nagarjuna University, Guntur ","B.M.Degree College, P.Dornala ",Affiliated College,Andhra Pradesh,Prakasam
51,"Acharya Nagarjuna University, Guntur ",BMRM Jhansi B.Ed College ,Affiliated College,Andhra Pradesh,Prakasam
52,"Acharya Nagarjuna University, Guntur ",B.R College of Education ,Affiliated College,Andhra Pradesh,Guntur
53,"Acharya Nagarjuna University, Guntur ",B.S.S.B College ,Affiliated College,Andhra Pradesh,Guntur
54,"Acharya Nagarjuna University, Guntur ",B.V.S.P.M Degree College ,Affiliated College,Andhra Pradesh,Prakasam
55,"Acharya Nagarjuna University, Guntur ",Career Degree College ,Affiliated College,Andhra Pradesh,Guntur
56,"Acharya Nagarjuna University, Guntur ","Chaitanya Bharathi Degree College, Chirala ",Affiliated College,Andhra Pradesh,Prakasam
57,"Acharya Nagarjuna University, Guntur ",Chaitanya College of Education ,Affiliated College,Andhra Pradesh,Prakasam
58,"Acharya Nagarjuna University, Guntur ","Chakradhar Degree College, Macherla ",Affiliated College,Andhra Pradesh,Guntur
59,"Acharya Nagarjuna University, Guntur ","Chalapathi Degree College, Lam ",Affiliated College,Andhra Pradesh,Guntur
60,"Acharya Nagarjuna University, Guntur ","Chalapathi Institute of Engineering & Technology, Lam ",Affiliated College,Andhra Pradesh,Guntur
61,"Acharya Nagarjuna University, Guntur ","Chalapathi Institute of Pharmaceutical Sciences, Lam ",Affiliated College,Andhra Pradesh,Guntur
62,"Acharya Nagarjuna University, Guntur ",Chebrolu Hanumaiah College of Pharmaceutical Sciences ,Affiliated College,Andhra Pradesh,Guntur
63,"Acharya Nagarjuna University, Guntur ",Chegireddy Linga Reddy Instt of Management ,Affiliated College,Andhra Pradesh,Prakasam
64,"Acharya Nagarjuna University, Guntur ","Chirala College of PG Studies, Chirala ",Affiliated College,Andhra Pradesh,Guntur
65,"Acharya Nagarjuna University, Guntur ",Chiristian Women's College ,Affiliated College,Andhra Pradesh,Guntur
66,"Acharya Nagarjuna University, Guntur ",Christu Jayanthi Jubilee College (P.G.) ,Affiliated College,Andhra Pradesh,Guntur
67,"Acharya Nagarjuna University, Guntur ",C.I.L.For Rural Management ,Affiliated College,Andhra Pradesh,Guntur
68,"Acharya Nagarjuna University, Guntur ",C.R. College ,Affiliated College,Andhra Pradesh,Guntur
69,"Acharya Nagarjuna University, Guntur ",C.S.R. Sarma College ,Affiliated College,Andhra Pradesh,Prakasam
70,"Acharya Nagarjuna University, Guntur ",D.C.R.M Degree College ,Affiliated College,Andhra Pradesh,Prakasam
71,"Acharya Nagarjuna University, Guntur ","D.C.R.M P.G College, MBA ",Affiliated College,Andhra Pradesh,Prakasam
72,"Acharya Nagarjuna University, Guntur ",Devathi Venkata Subbaiah Degree College ,Affiliated College,Andhra Pradesh,Prakasam
73,"Acharya Nagarjuna University, Guntur ",Devathi Venkata Subbiah College of Education ,Affiliated College,Andhra Pradesh,Prakasam
74,"Acharya Nagarjuna University, Guntur ",Don Bosco College (P.G.) ,Affiliated College,Andhra Pradesh,Guntur
75,"Acharya Nagarjuna University, Guntur ",Dr. B.R.Ambedkar Centenary Degree College ,Affiliated College,Andhra Pradesh,Guntur
76,"Acharya Nagarjuna University, Guntur ",Dr.Homi Jahangir Baba Degree College ,Affiliated College,Andhra Pradesh,Guntur
77,"Acharya Nagarjuna University, Guntur ",Dr. Jayapradamba Degree College ,Affiliated College,Andhra Pradesh,Guntur
78,"Acharya Nagarjuna University, Guntur ",Dr. K.R.R.M. Degree College ,Affiliated College,Andhra Pradesh,Guntur
79,"Acharya Nagarjuna University, Guntur ",Dr. K.S.P.R College of Education ,Affiliated College,Andhra Pradesh,Guntur
80,"Acharya Nagarjuna University, Guntur ",Dr.K.V.K. Sanskrit College ,Affiliated College,Andhra Pradesh,Guntur
81,"Acharya Nagarjuna University, Guntur ",D.R.N.S.C.V.S. College ,Affiliated College,Andhra Pradesh,Guntur
82,"Acharya Nagarjuna University, Guntur ",Dr. Samuel George College of Pharmaceutical Science ,Affiliated College,Andhra Pradesh,Prakasam
83,"Acharya Nagarjuna University, Guntur ",Dr. Zakir Hussain College of Education ,Affiliated College,Andhra Pradesh,Guntur
84,"Acharya Nagarjuna University, Guntur ","D.S.Govt. Degree College for Women, Ongole ",Affiliated College,Andhra Pradesh,Prakasam
85,"Acharya Nagarjuna University, Guntur ",Erigineni Tirupati Naidu & Lakshmamma Degree College ,Affiliated College,Andhra Pradesh,Prakasam
86,"Acharya Nagarjuna University, Guntur ",Fatima College of Education ,Affiliated College,Andhra Pradesh,Guntur
87,"Acharya Nagarjuna University, Guntur ",G.C.K.V.N. Degree College ,Affiliated College,Andhra Pradesh,Guntur
88,"Acharya Nagarjuna University, Guntur ",G.C & Y P N Degree College ,Affiliated College,Andhra Pradesh,Prakasam
89,"Acharya Nagarjuna University, Guntur ",Geetham Degree College ,Affiliated College,Andhra Pradesh,Prakasam
90,"Acharya Nagarjuna University, Guntur ","Geethanjali Degree College, Darsi ",Affiliated College,Andhra Pradesh,Prakasam
91,"Acharya Nagarjuna University, Guntur ",Geethika B.Ed College ,Affiliated College,Andhra Pradesh,Guntur
92,"Acharya Nagarjuna University, Guntur ",Goutham College of Education ,Affiliated College,Andhra Pradesh,Prakasam
93,"Acharya Nagarjuna University, Guntur ","Government Degree College, Cumbum ",Affiliated College,Andhra Pradesh,Prakasam
94,"Acharya Nagarjuna University, Guntur ","Government Degree College, Yerragondapalem ",Affiliated College,Andhra Pradesh,Prakasam
95,"Acharya Nagarjuna University, Guntur ","Govt. Degree College, Chebrolu ",Affiliated College,Andhra Pradesh,Guntur
96,"Acharya Nagarjuna University, Guntur ","Govt. Degree College for Women, Guntur ",Affiliated College,Andhra Pradesh,Guntur
97,"Acharya Nagarjuna University, Guntur ","Govt. Degree College, Kanigiri ",Affiliated College,Andhra Pradesh,Prakasam
98,"Acharya Nagarjuna University, Guntur ","G.R.K Degree College, Maddipadu ",Affiliated College,Andhra Pradesh,Prakasam
99,"Acharya Nagarjuna University, Guntur ",G.R.R. & T.P.R. Degree College ,Affiliated College,Andhra Pradesh,Prakasam
100,"Acharya Nagarjuna University, Guntur ",G.S.R. Degree College ,Affiliated College,Andhra Pradesh,Guntur
101,"Acharya Nagarjuna University, Guntur ",G.V.& A.D.S.L. College of Education ,Affiliated College,Andhra Pradesh,Prakasam
102,"Acharya Nagarjuna University, Guntur ",G.V.R & S College of Education ,Affiliated College,Andhra Pradesh,Guntur
103,"Acharya Nagarjuna University, Guntur ",G V R & S Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
104,"Acharya Nagarjuna University, Guntur ",G.V.R.S Institute for Professional Studies ,Affiliated College,Andhra Pradesh,Guntur
105,"Acharya Nagarjuna University, Guntur ",G.V.S.M. GOVT. Degree College ,Affiliated College,Andhra Pradesh,Prakasam
