university
"Acharya Nagarjuna University, Guntur "
"Acharya NG Ranga Agricultural University, Hyderabad "
ADESH UNIVERSITY 
"Adikavi Nannaya University, Rajahmundry, East Godawari "
Ahmedabad University 
"Alagappa University, Alagappa Nagar, Karaikudi "
"Aliah University, Kolkata "
"Aligarh Muslim University, Aligarh "
"Amrita Vishwa Vidyapeetham, Coimbatore "
"Anand Agricultural University, Anand "
"Andhra University, Visakhapatnam "
"Anna University, Chennai "
"Aryabhatta Knoweledge University , Patna "
"Assam Agricultural University, Jorhat "
"Assam Don Bosco University, Guwahati "
"Assam University, Silchar "
"Awadesh Pratap Singh University, Rewa "
"Ayush and Health Science University of Chattisgarh, Raipur "
"Baba Farid University of Health & Medical Sciences, Faridkot "
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur "
"Baddi University of Emerging Sciences and Technology, Budha (Makhnumajra), Solan "
"Banaras Hindu University, Banaras "
"Bangalore University, Bangalore "
"Barkatullah University, Bhopal "
"Bastar Vishwavidyalaya, Bastar "
"Berhampur University, Berhampur "
"Bhagat Phool Singh Mahila University, Khanpur Kalan, Sonipat "
"Bharathiar University, Coimbatore "
"Bharathidasan University, Tiruchirappalli "
"Bharati Vidyapeeth, Pune "
"Bhupendra Narayan Mandal University, Madhepura "
"Bihar Agriculture University, Sabour "
"Biju Patnaik University of Technology, Rourkela "
BILASPUR VISHWAVIDYALAYA 
"Birla Institute of Technology, Ranchi "
"B.L.D.E. University, Bijapur "
"Bundelkhand University, Jhansi "
"Burdwan University, Burdwan "
"Calcutta University, Kolkata "
"Calicut University, Thenhipalem, Malapuram "
"Carlox Teacher's University, Ahmedabad "
"Central Agricultural University, Imphal "
"Central Institute of Fisheries Education, Fishries University, Mumbai "
Centurion University of Technology and Management 
"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur "
"Charotar University of Science & Technology, Anand "
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur "
"Chaudhary Charan Singh Haryana Agricultural University, Hisar "
"Ch. Devi Lal University, Sirsa "
"Chettinad Academy of Research & Education, Kancheepuram "
CHHATTISGARH KAMDHENU VISHWAVIDALAYA 
"Chhattisgarh Swami Vivekanand Technical University, Bhilai "
"Chitkara University, Patiala "
"Choudhary Charan Singh University, Meerut "
"Cochin University of Science & Technology, Kochi "
"Datta Meghe Institute of Medical Sciences, Nagpur "
"Davangere University, Davangere "
"Dayalbagh Educational Institute, Agra "
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) "
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur "
"Devi Ahilya Vishwavidyalaya, Indore "
"Dibrugarh University, Dibrugarh "
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad "
"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri "
"Dr. B. R. Ambedkar University, Agra "
"Dr.B.R.Ambedkar University, Etcherla "
"Dr. D.Y.Patil Vidyapeeth, Pune "
"Dr. Harisingh Gaur Vishwavidyalaya, Sagar "
"Dr. N.T.R. University of Health Sciences, Vijaywada "
"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola "
"Dr. Ram Manohar Lohia Awadh University, Faizabad "
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan "
Dr Y S R Horticulture University 
"D.Y. Patil Educational Society , Kolhapur "
"Fakir Mohan University, Balasore "
"Forest Research Institute, Dehradun "
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam "
"Ganpat Univeristy, Vidyanagar, Gandhinagar "
"Gauhati University, Guwahati "
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar "
"Gautam Buddh Technical University, Lucknow "
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar "
"G.L.A University, Mathura "
"Goa University, Goa "
"GONDWANA UNIVERSITY, GADCHIROLI "
"Gujarat Ayurveda University, Jamnagar "
"Gujarat Technological University, Ahmedbabd "
"Gujarat University, Ahmedabad "
"Gujarat Vidyapith, Ahmedabad "
"Gulbarga University, Gulbarga "
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana "
Guru Gobind Singh Indraprastha University 
"Guru Jambheshwar University of Science and Technology, Hissar "
"Guru Nanak Dev University, Amritsar "
"Hemchandracharya North Gujart University, Patan "
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal "
"HIHT University, Dehradun "
"Himachal Pradesh Technical University, Hamirpur "
"Himachal Pradesh University , Shimla "
"Homi Bhabha Natioanal Institute Knowledge Management Group, Mumbai "
"Homoeopathy University, Jaipur "
"ICFAI Foundation for Higher Education, Hyderabad "
"Indian Institute of Foreign Trade, Delhi "
"Indian Institute of Information Technology, Allahabad "
"Indian Institute of Technology, Roorkee "
"Indian Statistical Institute, Kolkata "
"Indira Gandhi Institute of Medical Sciences, Patna "
"Indira Gandhi Krishi Vishwavidyalaya, Raipur "
"Indira Gandhi National Tribal University, Amarkantak "
"Indira Kala Sangit Vishwavidyalaya, Khairagarh "
INDUS UNIVERSITY 
"Integral University, Lucknow "
"Invertis University, Bareily "
"Jadavpur University, Kolkata "
"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur "
"Jagadguru Sri Shivarathreeswara University, Mysore "
"Jai Narain Vyas University, Jodhpur "
"Jain Vishva Bharati Institute, Nagaur "
"Jai Prakash Vishwavidyalaya, Chapra "
Jamia Millia Islamia University 
"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur "
"Jawaharlal Nehru Technological University, Anantapur "
"Jawaharlal Nehru Technological University, Hyderabad "
"Jawaharlal Nehru Technological University, Kakinada "
Jawahar Lal Nehru University 
Jawarharlal Nehru Architecture and Fine Art University Hyderabad 
"Jiwaji University, Gwalior "
"Jodhpur National University, Jodhpur "
Junagadh Agricultural University 
"Kadi Sarva Vishwavidyalaya, Gandihnagar "
"Kakatiya University, Warangal "
"Kalyani University, Kalyani "
"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga "
"Kannada University, Hampi, Kamalapura "
"Kannur University, Kannur "
Karnataka Sanskrit University 
"Karnataka State Law University, Hubli "
"Karnataka State Women University, Bijapur "
"Karnataka University, Dharwad "
"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar "
"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek "
"Kerala Agricultural University, Thrissur "
"Kerala Kalamandalam, Thrissur "
KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES 
"Kerala University, Thiruvananthapuram "
KING GEORGE MEDICAL UNIVERSITY 
"K.L.E. Academy of Higher Education and Research, Belgaum "
"Kolhan University, West Singhbhum "
"Koneru Lakshmaiah Education Foundation,Guntur "
"Kota University, Kota "
"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh "
"Krishna Institute of Medical Sciences Deemed University, Karad "
"Krishna University, Machhlipattanam "
"Kumaun University, Nainital "
"Kurukshetra University, Kurukshetra "
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur "
"Kuvempu University, Shankaraghatta, Shimoga "
"Lakshmibai National Institute of Physical Education, Gwalior "
Lala lajpat Rai University of Veterinary and Animal Sciences 
"Lalit Narayan Mithila University, Darbhanga "
"Lucknow University, Lucknow "
"Madras University, Chennai "
"Madurai Kamraj University, Madurai "
"Magadh University, Bodh Gaya "
Mahamaya Technical University 
"Maharaja Ganga Singh University, Bikaner "
Maharaja Krishnakumarsinhji Bhavnagar University 
"Maharaja Sayajirao University of Baroda, Vadodara "
"Maharashtra Animal & Fishery Sciences University, Nagpur "
"Maharashtra University of Health Sciences, Nashik "
"Maharishi Dayanand Saraswati University, Ajmer "
"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur "
"Maharishi Markandeshwar University, Mullana-Ambala "
"Maharishi Panini Sanskrit Vishwavidyalaya, Ujjain "
"Maharishi University of Management and Technology, Bilaspur "
"Maharshi Dayanand University, Rohtak "
"Mahatama Jyotiba Phule Rohikhand University, Bareilly "
"Mahatma Gandhi Kashi Vidyapeeth, Varanasi "
"Mahatma Gandhi University, Kottayam "
"Mahatma Gandhi University, Nalgonda "
"MAHATMA GANDHI UNIVERSITY OF MEDICAL SCIENCES AND TECHNOLOGY, JAIPUR "
"Mahatma Phule Krishi Vidyapeeth, Rahuri "
"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal "
"Mangalore University, Mangalore "
"Manipal Academy of Higher Education, Manipal "
"Manipur University, Imphal "
"Manonmaniam Sundaranar University, Tirunelveli "
"Marathwada Agricultural University, Parbhani "
"Maulana Azad National Urdu University, Hyderabad "
"Maulana Mazharul Haque Arabic & Persian University, Patna "
"Meenakshri Academy of Higher Education and Research, Chennai "
"MGM Institute of Health Sciences, Navi Mumbai "
"M.G.R. Educational and Research Institute, Chennai "
"Mizoram University, Aizwal "
"Mohan Lal Sukhadia University, Uaipur "
"Mother Teresa Women's University, Kodaikanal "
Mumbai University Mumbai 
"Mysore University, Mysore "
Nagaland University 
"Narendra Deo University of Agriculture & Technology, Faizabad "
"Narsee Monjee Institute of Management Studies, Mumbai "
"National Institute of Fashion Technology, Hauz Khas "
Navsari Agricultural University 
"Nilamber-Pitamber University, Palamu "
"Nirma University, Ahmedabad "
"NITTE Unversity, Mangalore "
"North Bengal University, Darjeeling "
"North Eastern Hill University, Shillong "
"North Maharashtra University, Jalgaon "
"North Orissa University, Mayurbhanj "
"Orissa University of Agriculture & Technology, Bhubaneswar "
"Osmania University, Hyderabad "
"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai "
"Palamuru University, Mahabubnagar "
"Pandit Deendayal Petroleum University, Gandhi Nagar "
"Panjab University,Chandigarh "
"Patna University, Patna "
"Periyar University, Salem "
"Pondicherry Univeristy, Puducherry "
"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur "
"Potti Sri Ramulu Telugu University, Hyderabad "
"Pravara Institute of Medical Sciences, Ahmednagar "
"Pt. Bhagat Dyal University of Health Science, Rohtak "
"Pt. Ravishankar Shukla University, Raipur "
"Pune University, Pune "
"Punjabi University, Patiala "
"Punjab Technical University, Jalandhar "
"Rabindra Bharati University, Kolkata "
"Raja Mansingh Tomar Music & Arts University, Gwalior "
"Rajasthan Ayurveda University, Jodhpur "
"Rajasthan Technical University, Kota "
"Rajasthan University, Jaipur "
"Rajasthan University of Health Sciences, Jaipur "
"Rajasthan University of Veterinary and Animal Sciences, Bikaner "
"Rajendra Agricultural University, Samastipur "
"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal "
"Rajiv Gandhi University, Itanagar "
"Rajiv Gandhi University of Health Sciences, Bangalore "
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES 
"Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya, Gwalior "
"Ramakrishna Mission Vivekananda Educational and Research Institute, Howrah "
"Ranchi University, Ranchi "
"Rani Channamma University, Belagavi "
